Инвентарный номер,Автор,Название,Место выпуска,Издательство,Год выпуска,ISBN,Страниц
1103,"Иларион (Алфеев), еп.",Жизнь и учение святителя Григория Богослова,М.,Издательство Сретенского монастыря,2007,978-5-7533-0080-5,592
1173,"Зозуляк Я., прот.",Катехетическая миссия Церкви,Киев,«Пролог»,2008,966-8538-30-7,158
